matches,innings,not_outs,runs,highest_score,average,strike_rate,hundreds,fifties,ducks,fours,sixes,balls_faced,catches,selected
72,69,8,1146,105,18.79,92.72,1,1,12,138,71,1236,4,0
71,68,13,1734,136,31.53,94.14,4,7,6,193,83,1842,14,1
63,63,12,1367,108,26.8,55.01,1,8,15,150,18,2485,7,0
66,62,11,958,134,18.78,69.12,1,1,14,124,28,1386,11,0
46,44,8,1826,137,50.72,104.58,1,4,0,171,99,1746,7,1
27,25,7,727,116,40.39,78.09,2,4,3,106,24,931,3,0
42,38,2,964,82,26.78,83.97,0,2,4,126,43,1148,8,0
17,16,5,521,126,47.36,82.7,2,3,0,66,19,630,3,1
32,32,3,511,134,17.62,57.67,1,0,5,63,18,886,3,0
66,66,7,1454,106,24.64,82.19,3,3,6,182,77,1769,4,0
67,63,9,1373,127,25.43,81.63,3,3,15,141,75,1682,9,0
81,78,12,2620,132,39.7,92.22,9,11,4,391,129,2841,8,1
50,46,3,947,127,22.02,67.74,1,3,9,108,24,1398,4,0
68,66,14,1591,137,30.6,97.73,2,3,8,144,98,1628,4,1
48,44,6,1580,130,41.58,71.33,6,8,1,164,58,2215,8,0
51,46,3,967,122,22.49,57.02,1,3,7,140,20,1696,6,0
29,24,4,785,117,39.25,79.78,1,4,1,98,41,984,5,0
43,41,6,1412,121,40.34,94.07,0,6,4,186,73,1501,3,0
62,60,12,1830,114,38.12,80.94,6,8,2,247,75,2261,4,0
65,60,10,1401,83,28.02,105.58,0,3,4,137,97,1327,9,1
18,15,4,479,105,43.55,119.75,1,1,0,62,34,400,2,1
41,36,7,611,43,21.07,63.51,0,3,3,68,21,962,4,0
44,43,11,1273,114,39.78,92.99,3,6,2,151,51,1369,3,0
19,15,3,302,125,25.17,58.75,1,1,2,30,7,514,4,0
50,49,7,1736,139,41.33,96.28,3,8,1,212,83,1803,7,1
23,19,2,723,100,42.53,67.51,0,1,0,93,18,1071,6,0
60,55,4,1218,129,23.88,82.69,1,3,14,157,71,1473,8,0
49,44,7,924,109,24.97,90.41,3,2,8,131,46,1022,8,0
55,51,13,1911,140,50.29,110.53,3,4,0,245,121,1729,5,1
20,18,3,327,124,21.8,86.51,1,1,3,44,20,378,2,0
63,62,14,2598,172,54.12,84.52,3,9,0,291,109,3074,8,0
42,42,6,1326,138,36.83,103.27,4,2,1,179,91,1284,6,1
83,83,10,2197,124,30.1,62.79,3,9,7,299,47,3499,1,0
39,35,10,916,102,36.64,111.84,3,7,0,127,64,819,6,0
71,70,9,2078,112,34.07,108.34,6,9,6,286,128,1918,14,1
28,27,5,1091,161,49.59,95.12,1,6,1,136,53,1147,0,0
42,40,8,1201,130,37.53,74.32,4,3,2,141,35,1616,1,1
29,26,4,724,110,32.91,84.38,1,2,2,93,36,858,3,0
42,42,8,1247,112,36.68,87.82,3,5,1,142,60,1420,6,1
52,52,5,1607,127,34.19,98.11,1,3,1,194,97,1638,2,0
61,61,3,968,42,16.69,55.0,0,3,12,101,22,1760,6,0
34,32,6,509,65,19.58,55.03,0,1,7,70,8,925,5,0
89,84,14,2571,134,36.73,111.54,6,7,2,258,169,2305,23,1
60,59,5,1229,110,22.76,89.38,3,3,4,176,75,1375,12,0
48,45,10,1500,135,42.86,82.46,4,5,1,202,48,1819,4,1
37,32,4,385,44,13.75,72.92,0,3,8,40,14,528,2,0
58,56,8,2258,132,47.04,77.41,4,7,0,308,65,2917,7,1
88,88,13,1440,57,19.2,79.82,0,1,15,151,52,1804,6,0
75,75,6,934,41,13.54,74.84,0,2,16,100,47,1248,20,0
30,25,7,691,126,38.39,114.03,2,2,1,83,51,606,4,1
35,30,8,1094,167,49.73,69.2,3,6,1,117,30,1581,5,0
17,17,4,661,154,50.85,75.72,2,1,0,62,21,873,2,0
48,43,11,1252,116,39.12,97.2,4,3,3,118,82,1288,9,1
76,72,8,1823,121,28.48,71.8,3,5,7,168,45,2539,18,1
77,77,6,2756,100,38.82,70.88,2,9,6,291,61,3888,10,0
34,31,5,971,124,37.35,79.85,2,5,1,88,42,1216,7,0
71,71,16,1346,126,24.47,89.49,3,3,14,178,86,1504,6,0
32,28,4,530,59,22.08,84.8,0,2,0,73,30,625,4,0
67,64,12,1818,109,34.96,98.01,0,7,0,238,133,1855,5,1
80,75,14,3200,156,52.46,106.63,3,9,0,298,183,3001,13,1
57,56,10,1323,136,28.76,73.13,2,5,10,155,58,1809,8,0
40,36,6,1309,131,43.63,85.0,1,4,1,120,62,1540,5,1
47,44,11,1049,135,31.79,76.46,3,7,3,155,35,1372,1,0
21,18,5,636,144,48.92,110.99,3,3,0,58,41,573,3,1
60,58,13,2171,152,48.24,81.43,2,8,1,209,71,2666,12,1
